date,timestamp,source,total_krw,cash_krw,core_krw,satellite_krw,ratio_cash,ratio_core,ratio_sat,holdings_json,stage_at_capture,notes
2026-04-25,2026-04-25T02:30:50.405062+09:00,web:2026-04-24_17-29-47.png,119355560,0,0,119386373,0,0,100,"[{""ticker"": ""TQQQ"", ""eval_krw"": 40508149, ""avg_cost_usd"": 59.31, ""current_price_usd"": 61.62, ""category"": ""satellite""}, {""ticker"": ""KORU"", ""eval_krw"": 38717690, ""avg_cost_usd"": 500.0, ""current_price_usd"": 523.0, ""category"": ""satellite""}, {""ticker"": ""SOXL"", ""eval_krw"": 40160534, ""avg_cost_usd"": 123.72, ""current_price_usd"": 126.75, ""category"": ""satellite""}]",exit,"박병창, 김장렬 등 강력 매수 신호로 위성 확대"
2026-04-28,2026-04-28T22:12:11.278409+09:00,web:2026-04-28_13-10-41.png,112076528,0,0,112466153,0,0,100,"[{""ticker"": ""KORU"", ""eval_krw"": 54445165, ""avg_cost_usd"": 520.0, ""current_price_usd"": 520.0197, ""category"": ""satellite""}, {""ticker"": ""SOXL"", ""eval_krw"": 58020988, ""avg_cost_usd"": 108.29, ""current_price_usd"": 115.3067, ""category"": ""satellite""}]",exit,VIX지수 20 상회로 단기 트레이딩 위성 확대
2026-05-05,2026-05-05T20:24:29.828314+09:00,web:2026-05-05_11-23-08.png,135234321,103149,43993792,91137380,0,33,67,"[{""ticker"": ""SOXX"", ""eval_krw"": 21518464, ""avg_cost_usd"": 467.5, ""current_price_usd"": 467.8, ""category"": ""core""}, {""ticker"": ""EWY"", ""eval_krw"": 22475328, ""avg_cost_usd"": 166.34, ""current_price_usd"": 166.34, ""category"": ""core""}, {""ticker"": ""KORU"", ""eval_krw"": 46457610, ""avg_cost_usd"": 651.85, ""current_price_usd"": 520.0197, ""category"": ""satellite""}, {""ticker"": ""SOXL"", ""eval_krw"": 44679770, ""avg_cost_usd"": 131.98, ""current_price_usd"": 115.3067, ""category"": ""satellite""}]",exit,단기투자 물량 정리하고 구덩이 탈출 원칙으로 복귀
2026-05-11,2026-05-11T09:19:19.398605+09:00,web:2026-05-11_00-18-16.png,177009227,957875,111107846,64943506,1,63,36,"[{""ticker"": ""SOXX"", ""eval_krw"": 53905259, ""avg_cost_usd"": null, ""current_price_usd"": null, ""category"": ""core""}, {""ticker"": ""EWY"", ""eval_krw"": 57202587, ""avg_cost_usd"": null, ""current_price_usd"": null, ""category"": ""core""}, {""ticker"": ""KORU"", ""eval_krw"": 34409952, ""avg_cost_usd"": null, ""current_price_usd"": null, ""category"": ""satellite""}, {""ticker"": ""SOXL"", ""eval_krw"": 30533554, ""avg_cost_usd"": null, ""current_price_usd"": null, ""category"": ""satellite""}]",exit,장중 삼성전자 하이닉스 3일연속 개인매수 우위와 상승으로 위성 축소
2026-05-21,2026-05-21T19:53:38.428574+09:00,web:2026-05-21_10-52-50.png,183085464,307505,121062088,61715871,0,66,34,"[{""ticker"": ""EWY"", ""eval_krw"": 121062088, ""avg_cost_usd"": null, ""current_price_usd"": null, ""category"": ""core""}, {""ticker"": ""KORU"", ""eval_krw"": 61715871, ""avg_cost_usd"": null, ""current_price_usd"": null, ""category"": ""satellite""}]",sell_near,단기매매 종료하고 구덩이 상태대로 복귀
2026-05-27,2026-05-27T16:33:12.920819+09:00,web:2026-05-27_07-32-22.png,215301430,2572238,212729192,0,1,99,0,"[{""ticker"": ""SOXX"", ""eval_krw"": 68526138, ""avg_cost_usd"": null, ""current_price_usd"": null, ""category"": ""core""}, {""ticker"": ""EWY"", ""eval_krw"": 67006868, ""avg_cost_usd"": null, ""current_price_usd"": null, ""category"": ""core""}, {""ticker"": ""QQQ"", ""eval_krw"": 77196186, ""avg_cost_usd"": null, ""current_price_usd"": null, ""category"": ""core""}]",sell_near,금일 삼전 닉스 거래터진 윗꼬리 발생 및 2배 레버리지 관심 확대로 위성 제거
2026-06-19,2026-06-19T07:16:26.291281+09:00,web:2026-06-18_22-15-21.png,271806906,63853,0,271743053,0,0,100,"[{""ticker"": ""KORU"", ""eval_krw"": 271743053, ""avg_cost_usd"": null, ""current_price_usd"": null, ""category"": ""satellite""}]",reset,코스피 반대매매 대량 발생으로 위성 100%
