date,cnn_fng,vix,vvix,skew,nasdaq_close,kospi_close,sp500_close,russell2k_close,soxx_close,nasdaq_52w_high,kospi_52w_high,sp500_52w_high,russell2k_52w_high,soxx_52w_high,nasdaq_drop_pct,kospi_drop_pct,sp500_drop_pct,russell2k_drop_pct,soxx_drop_pct,tqqq_close,soxl_close,koru_close,smh_close,qqq_close,ewy_close,cnn_trigger,vix_trigger,margin_trigger,signal_count,sell_leverage_trigger,sell_leading_trigger,sell_expert_trigger,sell_signal_count,ratio_cash,ratio_core,ratio_sat,memo,stage
2025-05-22,66.8,20.28,104.1,139.04,18925.74,2593.67,5842.01,2045.56,204.44,19215.46,2640.57,5963.6,2113.25,213.43,-1.51,-1.78,-2.04,-3.2,-4.21,33.91,16.45,44.52,240.06,511.52,57.01,0,0,0,0,0,0,0,0,,,,,normal
2025-05-23,64.09,22.29,109.76,139.34,18737.21,2592.09,5802.82,2039.85,201.27,19215.46,2640.57,5963.6,2113.25,213.43,-2.49,-1.84,-2.7,-3.47,-5.7,32.93,15.68,45.94,236.7,506.79,57.66,0,1,0,1,0,0,0,0,,,,,entry
2025-05-27,65.74,18.96,96.49,140.89,19199.16,2637.22,5921.54,2090.4,207.96,19215.46,2644.4,5963.6,2113.25,213.43,-0.08,-0.27,-0.71,-1.08,-2.56,35.22,17.23,48.27,244.21,518.71,58.66,0,0,0,0,0,0,0,0,,,,,normal
2025-05-28,64.74,19.31,97.15,137.65,19100.94,2670.15,5888.55,2067.8,206.92,19215.46,2670.15,5963.6,2113.25,213.43,-0.6,0.0,-1.26,-2.15,-3.05,34.77,16.98,50.0,241.61,516.41,59.42,0,0,0,0,0,0,0,0,,,,,normal
2025-05-29,64.46,19.18,95.32,137.26,19175.87,2720.64,5912.17,2074.78,207.76,19215.46,2720.64,5963.6,2113.25,213.43,-0.21,0.0,-0.86,-1.82,-2.66,34.94,17.14,52.63,243.32,517.43,60.44,0,0,0,0,0,0,0,0,,,,,normal
2025-05-30,61.91,18.57,95.15,138.25,19113.77,2697.67,5911.69,2066.29,203.64,19215.46,2720.64,5963.6,2113.25,213.43,-0.53,-0.84,-0.87,-2.22,-4.59,34.76,16.11,49.55,239.01,516.61,59.3,0,0,0,0,0,0,0,0,,,,,normal
2025-06-02,62.43,18.36,91.84,141.04,19242.61,2698.97,5935.94,2070.16,206.71,19242.61,2720.64,5963.6,2113.25,213.43,0.0,-0.8,-0.46,-2.04,-3.15,35.56,16.84,52.42,242.55,520.69,60.38,0,0,0,0,0,0,0,0,,,,,normal
2025-06-03,54.57,17.69,90.89,141.6,19398.96,,5970.37,2102.98,212.26,19398.96,,5970.37,2113.25,213.43,0.0,,0.0,-0.49,-0.55,36.39,18.24,52.95,248.02,524.76,60.53,0,0,0,0,0,0,0,0,,,,,normal
2025-06-04,54.89,17.61,90.79,137.46,19460.49,2770.84,5970.81,2098.48,215.42,19460.49,2770.84,5970.81,2113.25,215.42,0.0,0.0,0.0,-0.7,0.0,36.68,19.02,58.01,250.97,526.22,62.57,0,0,0,0,0,0,0,0,,,,,normal
2025-06-05,57.97,18.48,93.2,140.09,19298.45,2812.05,5939.3,2097.35,214.52,19460.49,2812.05,5970.81,2113.25,215.42,-0.83,0.0,-0.53,-0.75,-0.42,35.82,18.75,61.85,250.52,522.26,63.92,0,0,0,0,0,0,0,0,,,,,normal
